Date,Flow,Temperature,DO
10/23/2012,2680,12,9.4
10/24/2012,2550,12.5,10.2
10/25/2012,2430,12.5,9.8
10/26/2012,2320,12.5,9.7
10/27/2012,2230,12.5,9.2
10/28/2012,2120,12.5,9.7
10/29/2012,2070,12,9.8
10/30/2012,2040,11,9.7
10/31/2012,2080,11,9.9
11/1/2012,2320,10,10.8
11/2/2012,2400,9.5,10.3
11/3/2012,2440,9,10.2
11/4/2012,2400,9.5,10.3
11/5/2012,2400,9,11
11/6/2012,2410,9.5,10.5
11/7/2012,2460,9,11.3
11/8/2012,2550,9,10.9
11/9/2012,2780,9,10.8
11/10/2012,3140,9,10.5
11/11/2012,3460,9,10.4
11/12/2012,3610,9,10.3
11/13/2012,3670,9,10.4
11/14/2012,3620,8.3,11
11/15/2012,3530,8.4,11.2
11/16/2012,3390,8,12
11/17/2012,3350,8,10.7
11/18/2012,3320,7.5,10.7
11/19/2012,3240,7,11
11/20/2012,3090,7.4,10.8
11/21/2012,2950,7.8,10.7
11/22/2012,2780,8,10.9
11/23/2012,2630,8,10.8
11/24/2012,2520,8.2,10.9
11/25/2012,2440,8,11.1
11/26/2012,2380,8.2,11.2
11/27/2012,2300,8.5,11.5
11/28/2012,2210,8.5,10.8
11/29/2012,2120,8.4,11.2
11/30/2012,2050,9,10.7
12/1/2012,2030,8,10.7
12/2/2012,2060,7.4,10.7
12/3/2012,2090,8,12.2
12/4/2012,2130,7,11
12/5/2012,2120,7.4,11.2
12/6/2012,2150,6.6,11.2
12/7/2012,2160,6,11.4
12/8/2012,2210,5,11.9
12/9/2012,2160,5,11.775
12/10/2012,2130,3.3,11.80625
12/11/2012,2070,3.5,11.7984375
12/12/2012,2020,2.8,12.9
12/13/2012,1990,2,12.9
12/14/2012,1960,2,13.6
12/15/2012,1940,1.8,13.425
12/16/2012,1900,2,13.05
12/17/2012,1890,2,13
12/18/2012,1890,2,13.2
12/19/2012,1890,2,12.8
12/20/2012,1890,2,12.8
12/21/2012,2020,3.4,12.8
12/22/2012,2320,4.3,12.2
12/23/2012,2640,5.2,12.5
12/24/2012,2760,3,12.5
12/25/2012,2770,3,12.6
12/26/2012,2790,2.8,12.7
12/27/2012,3020,3,12.7
12/28/2012,3360,2.5,12.9
12/29/2012,3650,3,12.7
12/30/2012,3850,2,12.3
12/31/2012,3870,1.8,12.2
1/1/2013,3960,2.3,12.2
1/2/2013,3850,2.3,12.2
1/3/2013,3680,2.3,12.2
1/4/2013,3570,2.2,12.6
1/5/2013,3400,2.4,12.5
1/6/2013,3180,3.5,12.5
1/7/2013,3100,3,12.5
1/8/2013,3080,2.5,12.9
1/9/2013,3480,3,12.3
1/10/2013,3980,3.5,12.2
1/11/2013,4390,4,12.3
1/12/2013,4700,3,12.4
1/13/2013,4920,2.4,12.5
1/14/2013,5010,4,12.5
1/15/2013,4980,3,12.2
1/16/2013,4890,4,12.1
1/17/2013,4690,4,12
1/18/2013,4400,4,12
1/19/2013,4030,3.5,12.2
1/20/2013,3750,3.2,12.3
1/21/2013,3500,3.8,12.3
1/22/2013,3310,3.5,12
1/23/2013,3180,3.5,12.3
1/24/2013,3040,3.5,12.2
1/25/2013,2920,3.4,13.4
1/26/2013,2880,3.4,13.1
1/27/2013,2840,2.5,12.525
1/28/2013,2810,2.3,12.5
1/29/2013,2720,3,12.6
1/30/2013,2610,2.4,12.8
1/31/2013,2480,2.6,12.8
2/1/2013,2420,2.8,12.8
2/2/2013,2530,2.9,12.8
2/3/2013,2970,3,12.8
2/4/2013,3510,3,12.5
2/5/2013,3920,3,12.7
2/6/2013,4280,3,12.4
2/7/2013,4430,3.3,12.5
2/8/2013,4580,3.4,12.8
2/9/2013,4680,3.5,12.4
2/10/2013,4740,3.5,12.6
2/11/2013,4820,3.5,12.8
2/12/2013,4910,3.5,12.8
2/13/2013,4910,3.5,13.1
2/14/2013,4800,3.5,12.2
2/15/2013,4600,3.5,12.2
2/16/2013,4340,3.5,12.2
2/17/2013,4100,3.5,12.6
2/18/2013,3880,3.5,12.4
2/19/2013,3690,3.5,13
2/20/2013,3500,3.5,12.8
2/21/2013,3330,3.5,12.6
2/22/2013,3190,3.5,13
2/23/2013,3120,3.5,12.4
2/24/2013,3110,3.5,12.6
2/25/2013,3060,4,12.5
2/26/2013,3000,4.5,12.7
2/27/2013,2980,4.4,12.5
2/28/2013,3060,4.5,12.5
3/1/2013,3290,4.5,12.6
3/2/2013,3470,4.5,12.4
3/3/2013,3650,4.5,12.2
3/4/2013,3780,4.5,12.6
3/5/2013,3880,4.5,12.3
3/6/2013,3910,4.5,12.4
3/7/2013,3840,5,12.1
3/8/2013,3740,5.5,12.2
3/9/2013,3670,5.8,12
3/10/2013,3680,6.2,12
3/11/2013,3730,6.2,11.8
3/12/2013,3850,7,11.8
3/13/2013,4020,7,11.7
3/14/2013,4120,7.6,12
3/15/2013,4210,6.7,11.6
3/16/2013,4310,6.4,11.6
3/17/2013,4400,6,11.6
3/18/2013,4540,5.7,12
3/19/2013,4480,5.7,12
3/20/2013,4390,5.7,12
3/21/2013,4300,5.7,11.9
3/22/2013,4070,6,12.2
3/23/2013,4000,6,12
3/24/2013,3990,5.8,12.4
3/25/2013,4010,5,12.3
3/26/2013,3930,5,12.4
3/27/2013,3760,5,12.4
3/28/2013,3600,4.5,12.2
3/29/2013,3500,4.5,12.9
3/30/2013,3330,4.5,12.3
3/31/2013,3280,4.5,12.8
4/1/2013,3300,4.8,12.8
4/2/2013,3430,4.8,12.7
4/3/2013,3620,5.4,12.8
4/4/2013,3860,5.4,12.7
4/5/2013,4110,5.4,12.4
4/6/2013,4230,5,12.2
4/7/2013,4310,5.5,12.1
4/8/2013,4360,5.4,11.7
4/9/2013,4390,5.8,11.6
4/10/2013,4370,5.5,11.3
4/11/2013,4300,6,11.5
4/12/2013,4200,6,11.3
4/13/2013,4060,8.5,11.2
4/14/2013,3970,8.5,11.4
4/15/2013,3930,9.6,11.4
4/16/2013,3940,10.5,11.7
4/17/2013,3990,11,11.5
4/18/2013,4010,11.5,11.5
4/19/2013,4080,11.8,12
4/20/2013,4080,12,12.3
4/21/2013,4110,12,12
4/22/2013,4190,13,11.7
4/23/2013,4280,13.4,11.4
4/24/2013,4340,13.8,11
4/25/2013,4440,13.6,11.1
4/26/2013,4520,14.6,10.2
4/27/2013,4590,15,10.1
4/28/2013,4600,15.5,9.9
4/29/2013,4600,15.5,9.8
4/30/2013,4560,16,9.6
5/1/2013,4500,16,9.65
5/2/2013,4480,16,9.275
5/3/2013,4470,16.8,9.3
5/4/2013,4450,17.5,9.2
5/5/2013,4430,17.8,9.2
5/6/2013,4480,18,9.5
5/7/2013,4540,17.3,9.5
5/8/2013,4620,17,9.5
5/9/2013,4750,16.8,9.2
5/10/2013,4840,17,8.8
5/11/2013,4960,16.7,8.2
5/12/2013,5090,17,8.5
5/13/2013,5180,17.4,8.5
5/14/2013,5200,16,8.3
5/15/2013,5190,16,8.3
5/16/2013,5260,16.3,8.2
5/17/2013,5320,16,8.7
5/18/2013,5340,16.2,8.3
5/19/2013,5280,16.6,8.4
5/20/2013,5210,17,8.6
5/21/2013,5050,17,8.8
5/22/2013,4890,17.5,8.5
5/23/2013,4740,17.5,8.6
5/24/2013,4530,17,8.5
5/25/2013,4300,17,8.2
5/26/2013,4100,17,8.3
5/27/2013,3900,16.7,8.5
5/28/2013,3730,16.5,8.8
5/29/2013,3550,16.3,9
5/30/2013,3380,16.5,9.5
5/31/2013,3340,16,9.5
6/1/2013,3420,16,10
6/2/2013,3540,16,10.2
6/3/2013,3720,16.4,10.15
6/4/2013,4050,15.5,10.1
6/5/2013,4410,15.5,10.7
6/6/2013,4700,14.5,9.95
6/7/2013,4970,14.2,9.2
6/8/2013,5260,14,9.2
6/9/2013,5660,14,8.8
6/10/2013,6220,14.5,8.1
6/11/2013,6790,15,7.7
6/12/2013,7280,15,7.5
6/13/2013,7650,15.6,7.4
6/14/2013,8010,15.6,7.3
6/15/2013,8110,15.8,6.9
6/16/2013,8120,17,7
6/17/2013,8040,18,6.8
6/18/2013,7870,18.4,6.6
6/19/2013,7770,19.5,6.9
6/20/2013,7480,19.8,6.9
6/21/2013,7320,21,7
6/22/2013,7110,21.5,6.9
6/23/2013,6940,21,6.9
6/24/2013,6770,22.1,6.8
6/25/2013,6570,22,6.4
6/26/2013,6360,22.2,6.4
6/27/2013,6100,22.2,6.6
6/28/2013,5840,21.2,7
6/29/2013,5650,21,7.5
6/30/2013,5590,22,7.5
7/1/2013,5560,19,8
7/2/2013,5500,19,7.9
7/3/2013,5500,19.5,8.1
7/4/2013,5380,19.5,8.1
7/5/2013,5260,19.5,8.3
7/6/2013,5080,20,8.25
7/7/2013,4810,20,8.1
7/8/2013,4580,21,8.2
7/9/2013,4470,21.5,7.8
7/10/2013,4380,21.6,7.9
7/11/2013,4260,22,8.3
7/12/2013,4140,22,8.6
7/13/2013,3960,22,9.3
7/14/2013,3800,22.5,9.6
7/15/2013,3650,22.5,9.8
7/16/2013,3530,22.2,9.8
7/17/2013,3320,21.7,9.9
7/18/2013,3130,22,10.8
7/19/2013,2960,22.4,11.6
7/20/2013,2790,23,11.7
7/21/2013,2660,23.4,11.2
7/22/2013,2590,24,9.9
7/23/2013,2600,23.8,8.9
7/24/2013,2580,23.8,8.2
7/25/2013,2540,24.2,8.1
7/26/2013,2480,24.7,8
7/27/2013,2410,25,8
7/28/2013,2350,25.3,7.8
7/29/2013,2350,25.5,7.8
7/30/2013,2370,25.5,8.4
7/31/2013,2360,25.2,8.4
8/1/2013,2270,25.5,8.4
8/2/2013,2210,25.4,9
8/3/2013,2150,26,9.1
8/4/2013,2100,26,9.3
8/5/2013,2080,26,8.6
8/6/2013,2050,26,7.9
8/7/2013,2010,26,8
8/8/2013,1970,26.5,7.7
8/9/2013,1960,26.5,7.8
8/10/2013,1950,27,7.8
8/11/2013,1970,26.5,7.7
8/12/2013,1970,26.5,7.5
8/13/2013,2000,26.5,7.8
8/14/2013,2040,26.5,8.1
8/15/2013,2130,25,7.9
8/16/2013,2150,25.5,8.2
8/17/2013,2120,25.5,8.6
8/18/2013,2060,25,9.2
8/19/2013,2010,25,8.9
8/20/2013,1940,25,9.6
8/21/2013,1870,24,9.5
8/22/2013,1820,24,9
8/23/2013,1770,24,9.7
8/24/2013,1770,24,9.7
8/25/2013,1880,23.5,10.2
8/26/2013,2020,23,9.4
8/27/2013,2080,23,8.9
8/28/2013,2070,22.2,8.3
8/29/2013,2080,22,8.5
8/30/2013,2200,21.5,8.2
8/31/2013,2370,21.5,8.275
9/1/2013,2580,21.5,8.07
9/2/2013,2850,21.5,8.2
9/3/2013,2990,21.5,7.68
9/4/2013,2840,20,7.5
9/5/2013,2590,20.5,7.5
9/6/2013,2380,20,8
9/7/2013,2270,20,7.875
9/8/2013,2210,19.5,7.775
