Date,Flow,Temperature,DO
10/23/2012,151,15.2,
10/24/2012,148,15.2,
10/25/2012,151,15.2,
10/26/2012,151,15,
10/27/2012,164,15,
10/28/2012,151,14,
10/29/2012,164,13.8,
10/30/2012,170,13,
10/31/2012,190,12.2,
11/1/2012,324,12,
11/2/2012,347,11.6,
11/3/2012,347,11.4,
11/4/2012,335,11.4,
11/5/2012,347,10,
11/6/2012,335,10,
11/7/2012,411,10,
11/8/2012,422,10,
11/9/2012,503,10,
11/10/2012,544,9.8,
11/11/2012,583,9.4,
11/12/2012,553,9.2,
11/13/2012,493,9,
11/14/2012,453,8.8,
11/15/2012,401,8.8,
11/16/2012,358,8.8,
11/17/2012,324,8.6,10
11/18/2012,324,8.4,
11/19/2012,301,8.4,
11/20/2012,277,8.2,
11/21/2012,277,8.2,
11/22/2012,265,8,
11/23/2012,265,8,
11/24/2012,253,8,
11/25/2012,241,7.8,
11/26/2012,241,7.8,
11/27/2012,253,7.8,
11/28/2012,253,7.8,
11/29/2012,277,7.8,
11/30/2012,229,7.6,
12/1/2012,241,7.6,
12/2/2012,241,7.6,
12/3/2012,247,7.4,
12/4/2012,253,7.2,
12/5/2012,265,7.2,
12/6/2012,300,7,
12/7/2012,342,6,
12/8/2012,350,5.6,
12/9/2012,330,5.4,
12/10/2012,315,4,
12/11/2012,300,3,
12/12/2012,275,3,
12/13/2012,249,2,
12/14/2012,237,2,
12/15/2012,235,2,
12/16/2012,230,2,
12/17/2012,225,1.8,
12/18/2012,230,1.8,
12/19/2012,250,1.8,
12/20/2012,300,1.8,12.6
12/21/2012,380,1.6,
12/22/2012,410,1.6,
12/23/2012,403,1.6,
12/24/2012,380,1.6,
12/25/2012,330,1.6,
12/26/2012,287,1.6,
12/27/2012,275,1.6,
12/28/2012,275,1.6,
12/29/2012,270,1.4,
12/30/2012,265,1.4,
12/31/2012,310,1.4,
1/1/2013,443,1.2,
1/2/2013,443,1.2,
1/3/2013,421,1.2,
1/4/2013,410,1.2,
1/5/2013,387,1.2,
1/6/2013,375,1.2,
1/7/2013,350,1.2,
1/8/2013,362,1,
1/9/2013,387,1,
1/10/2013,375,1,
1/11/2013,350,1,
1/12/2013,337,1,
1/13/2013,323,1,
1/14/2013,350,1,
1/15/2013,350,1,
1/16/2013,337,1,
1/17/2013,323,1,
1/18/2013,337,1,
1/19/2013,375,1,
1/20/2013,432,1,
1/21/2013,484,1.2,13.2
1/22/2013,484,1.2,
1/23/2013,484,1.2,
1/24/2013,494,1,
1/25/2013,557,1,
1/26/2013,656,1,
1/27/2013,710,1,
1/28/2013,718,0.8,
1/29/2013,703,0.8,
1/30/2013,672,0.8,
1/31/2013,632,0.8,
2/1/2013,590,1,
2/2/2013,574,1,
2/3/2013,557,1.6,
2/4/2013,590,1.6,
2/5/2013,648,1.6,
2/6/2013,764,1.6,
2/7/2013,906,2,
2/8/2013,1000,2,
2/9/2013,1060,2,
2/10/2013,1070,2,
2/11/2013,1050,2.4,
2/12/2013,1010,2.4,
2/13/2013,946,2.4,12.3
2/14/2013,893,2.4,
2/15/2013,844,2.6,
2/16/2013,795,2.6,
2/17/2013,745,2.6,
2/18/2013,709,2.6,
2/19/2013,670,2.6,
2/20/2013,675,2.6,
2/21/2013,651,2.6,
2/22/2013,635,2.6,
2/23/2013,627,2.6,
2/24/2013,610,2.8,
2/25/2013,593,3,
2/26/2013,567,3.2,
2/27/2013,576,3,
2/28/2013,610,3,
3/1/2013,659,3,
3/2/2013,736,3,
3/3/2013,812,3.6,
3/4/2013,868,3.8,
3/5/2013,902,3.8,
3/6/2013,888,4,
3/7/2013,847,4.2,
3/8/2013,791,4.2,
3/9/2013,743,4.4,
3/10/2013,721,5.4,
3/11/2013,721,5.4,
3/12/2013,826,5.4,
3/13/2013,1100,5.8,
3/14/2013,1310,5.8,
3/15/2013,1380,5.8,
3/16/2013,1460,5.8,
3/17/2013,1520,6,
3/18/2013,1540,6,11.1
3/19/2013,1560,6.2,
3/20/2013,1590,6.2,
3/21/2013,1620,6.2,
3/22/2013,1630,6.2,
3/23/2013,1630,6.2,
3/24/2013,1660,5,
3/25/2013,1690,5.6,
3/26/2013,1710,5,
3/27/2013,1720,5,
3/28/2013,1760,5,
3/29/2013,1790,5,
3/30/2013,1800,5,
3/31/2013,1840,4.6,
4/1/2013,1870,4.6,
4/2/2013,1890,4.6,
4/3/2013,1910,4.6,
4/4/2013,1970,4.6,
4/5/2013,2010,4.6,
4/6/2013,2100,4.6,
4/7/2013,2170,6.4,
4/8/2013,2220,6,
4/9/2013,2250,6.2,
4/10/2013,2270,6.2,
4/11/2013,2290,6.4,9.2
4/12/2013,2300,6.6,
4/13/2013,2290,7.8,
4/14/2013,2310,7.8,
4/15/2013,2360,9,
4/16/2013,2390,10.8,
4/17/2013,2420,11,
4/18/2013,2450,11.6,
4/19/2013,2450,11.6,
4/20/2013,2440,12,
4/21/2013,2420,13.4,
4/22/2013,2420,13.4,
4/23/2013,2410,13.4,
4/24/2013,2380,13.8,
4/25/2013,2360,14,
4/26/2013,2330,14,
4/27/2013,2310,14.6,
4/28/2013,2270,16,
4/29/2013,2270,16.4,
4/30/2013,2200,17,
5/1/2013,2190,17.8,
5/2/2013,2180,17.8,
5/3/2013,2170,18.2,
5/4/2013,2120,19,
5/5/2013,2080,19,
5/6/2013,2030,19,
5/7/2013,1970,19,
5/8/2013,1920,19,
5/9/2013,1860,19,
5/10/2013,1780,19,
